Station Name,City,State,Date,AQI,Treated
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,-7,112,0
"Gulzarpet, Anantapur - APPCB",Anantapur,Andhra Pradesh,-7,44,0
"Gangineni Cheruvu, Chittoor - APPCB",Chittoor,Andhra Pradesh,-7,77,0
"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,-7,78,0
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,Andhra Pradesh,-7,95,0
"Tirumala, Tirupati - APPCB",Tirupati,Andhra Pradesh,-7,104,0
"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,-7,85,0
"HB Colony, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,-7,68,0
"Kanuru, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,-7,80,0
"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,-7,63,0
"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,-7,76,0
"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,-7,80,0
"Naharlagun, Naharlagun - APSPCB",Naharlagun,Arunachal Pradesh,-7,43,0
"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,-7,65,0
"IITG, Guwahati - PCBA",Guwahati,Assam,-7,94,0
"LGBI Airport, Guwahati - PCBA",Guwahati,Assam,-7,74,0
"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,-7,33,0
"Railway Colony, Guwahati - PCBA",Guwahati,Assam,-7,122,0
"Christianpatty, Nagaon - PCBA",Nagaon,Assam,-7,65,0
"Bata Chowk, Nalbari - PCBA",Nalbari,Assam,-7,28,0
"Tarapur, Silchar - PCBA",Silchar,Assam,-7,46,0
"Girls College, Sivasagar - PCBA",Sivasagar,Assam,-7,60,0
"Kharahiya Basti, Araria - BSPCB",Araria,Bihar,-7,191,0
"New DM Office, Arrah - BSPCB",Arrah,Bihar,-7,187,0
"Gurdeo Nagar, Aurangabad - BSPCB",Aurangabad,Bihar,-7,155,0
"Lohiyanagar, Begusarai - BSPCB (Formerly known as DRCC Anandpur)",Begusarai,Bihar,-7,151,0
"Kamalnath Nagar, Bettiah - BSPCB",Bettiah,Bihar,-7,147,0
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",Bhagalpur,Bihar,-7,96,0
"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,-7,142,0
"D M Colony, Bihar Sharif - BSPCB",Bihar Sharif,Bihar,-7,164,0
"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",Buxar,Bihar,-7,215,0
"Darshan Nagar, Chhapra - BSPCB",Chhapra,Bihar,-7,264,0
"Town Hall - Lal Bagh, Darbhanga - BSPCB",Darbhanga,Bihar,-7,187,0
"Collectorate, Gaya - BSPCB",Gaya,Bihar,-7,205,0
"Kareemganj, Gaya - BSPCB",Gaya,Bihar,-7,281,0
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,-7,84,0
"Industrial Area, Hajipur - BSPCB",Hajipur,Bihar,-7,216,0
"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,-7,145,0
"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,Bihar,-7,153,0
"Forest Rest House, Manguraha - BSPCB",Manguraha,Bihar,-7,111,0
"Gandak Colony, Motihari - BSPCB",Motihari,Bihar,-7,147,0
"Town Hall, Munger - BSPCB",Munger,Bihar,-7,130,0
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,-7,254,0
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,-7,187,0
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,-7,139,0
"DRM Office Danapur, Patna - BSPCB",Patna,Bihar,-7,187,0
"Govt. High School Shikarpur, Patna - BSPCB",Patna,Bihar,-7,239,0
"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,-7,265,0
"Muradpur, Patna - BSPCB",Patna,Bihar,-7,207,0
"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,-7,281,0
"Samanpura, Patna - BSPCB",Patna,Bihar,-7,357,0
"Mariam Nagar, Purnia - BSPCB",Purnia,Bihar,-7,187,0
"Dangi Tola, Rajgir - BSPCB",Rajgir,Bihar,-7,187,0
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,-7,187,0
"DM Office_Kasipur, Samastipur - BSPCB",Samastipur,Bihar,-7,145,0
"Dada Peer, Sasaram - BSPCB",Sasaram,Bihar,-7,153,0
"Chitragupta Nagar, Siwan - BSPCB",Siwan,Bihar,-7,207,0
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,-7,335,0
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,-7,317,0
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,-7,340,0
"32Bungalows, Bhilai - CECB",Bhilai,Chhattisgarh,-7,105,0
"Civic Center, Bhilai - Bhilai Steel Plant",Bhilai,Chhattisgarh,-7,122,0
"Hathkhoj, Bhilai - CECB",Bhilai,Chhattisgarh,-7,104,0
"Mangala, Bilaspur - NTPC",Bilaspur,Chhattisgarh,-7,89,0
"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,-7,78,0
"Rampur, Korba - CECB",Korba,Chhattisgarh,-7,64,0
"Urja Nagar, Korba - CECB",Korba,Chhattisgarh,-7,35,0
"OP Jindal School, Kunjemura - CECB",Kunjemura,Chhattisgarh,-7,99,0
"Govt. Higher Secondary School, Milupara - CECB",Milupara,Chhattisgarh,-7,89,0
"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,-7,89,0
"Bhatagaon New ISBT, Raipur - CECB",Raipur,Chhattisgarh,-7,96,0
"Krishak Nagar, Raipur - CECB",Raipur,Chhattisgarh,-7,85,0
"Siltara Phase-II, Raipur - CECB",Raipur,Chhattisgarh,-7,103,0
"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,Chhattisgarh,-7,89,0
"Alipur, Delhi - DPCC",Delhi,Delhi,-7,361,1
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,-7,388,1
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,-7,391,1
"Aya Nagar, Delhi - IMD",Delhi,Delhi,-7,335,1
"Bawana, Delhi - DPCC",Delhi,Delhi,-7,404,1
"Burari Crossing, Delhi - IMD",Delhi,Delhi,-7,363,1
"CRRI Mathura Road, Delhi - IMD",Delhi,Delhi,-7,323,1
"Chandni Chowk, Delhi - IITM",Delhi,Delhi,-7,290,1
"DTU, Delhi - CPCB",Delhi,Delhi,-7,322,1
"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,Delhi,-7,345,1
"Dwarka-Sector 8, Delhi - DPCC ",Delhi,Delhi,-7,364,1
"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,-7,341,1
"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,-7,264,1
"ITO, Delhi - CPCB",Delhi,Delhi,-7,340,1
"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,-7,419,1
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,-7,315,1
"Lodhi Road, Delhi - IITM",Delhi,Delhi,-7,353,1
"Lodhi Road, Delhi - IMD",Delhi,Delhi,-7,311,1
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,-7,362,1
"Mandir Marg, Delhi - DPCC",Delhi,Delhi,-7,346,1
"Mundka, Delhi - DPCC",Delhi,Delhi,-7,392,1
"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,-7,392,1
"Najafgarh, Delhi - DPCC",Delhi,Delhi,-7,365,1
"Narela, Delhi - DPCC",Delhi,Delhi,-7,358,1
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,-7,369,1
"North Campus, DU, Delhi - IMD",Delhi,Delhi,-7,369,1
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,-7,342,1
"Patparganj, Delhi - DPCC",Delhi,Delhi,-7,368,1
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,-7,396,1
"Pusa, Delhi - DPCC",Delhi,Delhi,-7,323,1
"Pusa, Delhi - IMD",Delhi,Delhi,-7,321,1
"R K Puram, Delhi - DPCC",Delhi,Delhi,-7,374,1
"Rohini, Delhi - DPCC",Delhi,Delhi,-7,398,1
"Shadipur, Delhi - CPCB",Delhi,Delhi,-7,390,1
"Sirifort, Delhi - CPCB",Delhi,Delhi,-7,336,1
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,-7,353,1
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,-7,199,1
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,-7,383,1
"Wazirpur, Delhi - DPCC",Delhi,Delhi,-7,403,1
"Chandkheda, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,146,0
"Gyaspur, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,120,0
"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,-7,98,0
"Raikhad, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,140,0
"Rakhial, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,183,0
"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,137,0
"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,98,0
"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,118,0
"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",Ahmedabad,Gujarat,-7,111,0
"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,-7,124,0
"GIFT City, Gandhinagar - IITM",Gandhinagar,Gujarat,-7,141,0
"IIPHG Lekawada, Gandhinagar - IITM",Gandhinagar,Gujarat,-7,124,0
"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,-7,87,0
"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,-7,124,0
"Science Center, Surat - SMC",Surat,Gujarat,-7,124,0
"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,-7,136,0
"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,-7,110,0
"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,-7,177,0
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,-7,310,0
"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,-7,131,0
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,-7,264,0
"Mini Secretariat, Charkhi Dadri - HSPCB",Charkhi Dadri,Haryana,-7,301,0
"Municipal Corporation Office, Dharuhera -  HSPCB",Dharuhera,Haryana,-7,288,0
"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,-7,219,0
"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,-7,148,0
"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,-7,186,0
"Sector- 16A, Faridabad - HSPCB",Faridabad,Haryana,-7,215,0
"Huda Sector, Fatehabad - HSPCB",Fatehabad,Haryana,-7,215,0
"NISE Gwal Pahari, Gurugram - IMD",Gurugram,Haryana,-7,318,0
"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,-7,352,0
"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,-7,277,0
"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,-7,306,0
"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,-7,81,0
"Police Lines, Jind - HSPCB",Jind,Haryana,-7,264,0
"Rishi Nagar, Kaithal - HSPCB",Kaithal,Haryana,-7,178,0
"Sector-12, Karnal - HSPCB",Karnal,Haryana,-7,121,0
"Sector-7, Kurukshetra - HSPCB",Kurukshetra ,Haryana,-7,160,0
"General Hospital, Mandikhera - HSPCB",Mandikhera,Haryana,-7,113,0
"Sector-2 IMT, Manesar - HSPCB",Manesar,Haryana,-7,212,0
"Shastri Nagar, Narnaul - HSPCB",Narnaul,Haryana,-7,233,0
"Shyam Nagar, Palwal - HSPCB",Palwal ,Haryana,-7,104,0
"Sector-6, Panchkula - HSPCB ",Panchkula,Haryana,-7,220,0
"Sector-18, Panipat - HSPCB",Panipat,Haryana,-7,184,0
"MD University, Rohtak - HSPCB",Rohtak,Haryana,-7,227,0
"F-Block, Sirsa - HSPCB",Sirsa,Haryana,-7,187,0
"Murthal, Sonipat - HSPCB",Sonipat,Haryana,-7,273,0
"Gobind Pura, Yamuna Nagar - HSPCB",Yamuna Nagar,Haryana,-7,198,0
"HIMUDA Complex Phase-1, Baddi - HPPCB",Baddi,Himachal Pradesh,-7,283,0
"Rajbagh, Srinagar - JKSPCB",Srinagar,Jammu and Kashmir,-7,38,0
"Kalakusuma, Dhanbad - DMC",Dhanbad,Jharkhand,-7,194,0
"Sardar Patel Nagar, Dhanbad - JSPCB",Dhanbad,Jharkhand,-7,244,0
"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,Jharkhand,-7,143,0
"Mohalbani Ghat, Pathardih - DMC",Pathardih,Jharkhand,-7,194,0
"Vidayagiri, Bagalkot - KSPCB",Bagalkot,Karnataka,-7,39,0
"Ramteerth Nagar, Belgaum - KSPCB",Belgaum,Karnataka,-7,75,0
"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,-7,78,0
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,-7,75,0
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,102,0
"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,75,0
"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,75,0
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,62,0
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,88,0
"Jigani, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,120,0
"Kasturi Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,75,0
"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,-7,74,0
"RVCE-Mailasandra, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,85,0
"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,36,0
"Shivapura_Peenya, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,90,0
"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,-7,98,0
"Naubad, Bidar - KSPCB",Bidar,Karnataka,-7,185,0
"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,-7,42,0
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,-7,105,0
"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,-7,52,0
"Devaraj Urs Badavane, Davanagere - KSPCB",Davanagere,Karnataka,-7,91,0
"Kalabhavan, Dharwad - KSPCB",Dharwad,Karnataka,-7,75,0
"Panchal Nagar, Gadag - KSPCB",Gadag,Karnataka,-7,57,0
"B.Katihalli, Hassan - KSPCB",Hassan,Karnataka,-7,62,0
"Ashwini Nagar, Haveri - KSPCB",Haveri,Karnataka,-7,62,0
"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,-7,103,0
"Lingaraj Nagar, Hubballi - KSPCB",Hubballi,Karnataka,-7,49,0
"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,-7,89,0
"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Kalaburagi,Karnataka,-7,41,0
"KHB Colony, Karwar - KSPCB",Karwar,Karnataka,-7,54,0
"Tamaka Ind. Area, Kolar - KSPCB",Kolar,Karnataka,-7,63,0
"Diwator Nagar, Koppal - KSPCB",Koppal,Karnataka,-7,48,0
"Stuart Hill, Madikeri - KSPCB",Madikeri,Karnataka,-7,40,0
"Kadri, Mangalore - KSPCB",Mangalore,Karnataka,-7,60,0
"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,-7,61,0
"Haji Colony, Raichur - KSPCB",Raichur,Karnataka,-7,75,0
"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,-7,71,0
"Vinoba Nagara, Shivamogga - KSPCB",Shivamogga,Karnataka,-7,52,0
"Thimmalapura, Tumakuru - KSPCB",Tumakuru,Karnataka,-7,114,0
"Brahmagiri, Udupi - KSPCB",Udupi,Karnataka,-7,69,0
"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,-7,37,0
"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,-7,166,0
"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,-7,63,0
"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,-7,56,0
"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,-7,56,0
"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,-7,56,0
"Polayathode, Kollam - Kerala PCB",Kollam,Kerala,-7,76,0
"Palayam, Kozhikode - Kerala PCB",Kozhikode,Kerala,-7,56,0
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,-7,51,0
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,-7,48,0
"Corporation Ground, Thrissur - Kerala PCB",Thrissur,Kerala,-7,42,0
"Idgah Hills, Bhopal - MPPCB",Bhopal,Madhya Pradesh,-7,213,0
"Paryavaran Parisar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,-7,247,0
"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,-7,201,0
"Shrivastav Colony, Damoh - MPPCB",Damoh,Madhya Pradesh,-7,65,0
"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,-7,126,0
"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,-7,100,0
"Deen Dayal Nagar, Gwalior - MPPCB",Gwalior,Madhya Pradesh,-7,167,0
"Maharaj Bada, Gwalior - MPPCB",Gwalior,Madhya Pradesh,-7,143,0
"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,Madhya Pradesh,-7,135,0
"Airport Area, Indore - IMC",Indore,Madhya Pradesh,-7,153,0
"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,-7,141,0
"Maguda Nagar, Indore - IMC",Indore,Madhya Pradesh,-7,77,0
"Regional Park, Indore - IMC",Indore,Madhya Pradesh,-7,111,0
"Residency Area, Indore - IMC",Indore,Madhya Pradesh,-7,82,0
"Vijay Nagar Scheme-78, Indore - Glenmark",Indore,Madhya Pradesh,-7,135,0
"Govindh Bhavan Colony, Jabalpur - JMC",Jabalpur,Madhya Pradesh,-7,71,0
"Gupteshwar, Jabalpur - JMC",Jabalpur,Madhya Pradesh,-7,79,0
"Marhatal, Jabalpur - MPPCB",Jabalpur,Madhya Pradesh,-7,124,0
"Suhagi, Jabalpur - JMC",Jabalpur,Madhya Pradesh,-7,115,0
"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,-7,165,0
"Sahilara, Maihar - KJS Cements",Maihar,Madhya Pradesh,-7,49,0
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,-7,335,0
"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,Madhya Pradesh,-7,87,0
"Shasthri Nagar, Ratlam - IPCA Lab",Ratlam,Madhya Pradesh,-7,153,0
"Civil Lines, Sagar - MPPCB",Sagar,Madhya Pradesh,-7,155,0
"Deen Dayal Nagar, Sagar - MPPCB",Sagar,Madhya Pradesh,-7,66,0
"Bandhavgar Colony, Satna - Birla Cement",Satna,Madhya Pradesh,-7,75,0
"Suryakiran Bhawan NCL, Singrauli - MPPCB",Singrauli,Madhya Pradesh,-7,237,0
"Mahakaleshwar Temple, Ujjain - MPPCB",Ujjain,Madhya Pradesh,-7,121,0
"Tarakpur, Ahmednagar - MPCB",Ahmednagar,Maharashtra,-7,196,0
"Ramdaspeth, Akola - MPCB",Akola,Maharashtra,-7,109,0
"Shivneri Colony, Amravati - MPCB",Amravati,Maharashtra,-7,114,0
"Shri Shivaji Science College, Amaravati - MPCB",Amravati,Maharashtra,-7,111,0
"MIDC Chilkalthana, Aurangabad - MPCB",Aurangabad,Maharashtra,-7,160,0
"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,Maharashtra,-7,89,0
"Rachnakar Colony, Aurangabad - MPCB",Aurangabad,Maharashtra,-7,141,0
"Katrap, Badlapur - MPCB",Badlapur,Maharashtra,-7,206,0
"CBD Belapur, Belapur - MPCB",Belapur,Maharashtra,-7,152,0
"Gokul Nagar, Bhiwandi - MPCB",Bhiwandi,Maharashtra,-7,177,0
"Khaira, Boisar - MPCB",Boisar,Maharashtra,-7,127,0
"Chauhan Colony, Chandrapur - MPCB",Chandrapur,Maharashtra,-7,161,0
"MIDC Khutala, Chandrapur - MPCB",Chandrapur,Maharashtra,-7,160,0
"Deopur, Dhule - MPCB",Dhule,Maharashtra,-7,207,0
"Prabhat Colony, Jalgaon - MPCB",Jalgaon,Maharashtra,-7,183,0
"Old MIDC, Jalna - MPCB",Jalna,Maharashtra,-7,260,0
"Khadakpada, Kalyan - MPCB",Kalyan,Maharashtra,-7,130,0
"Pimpleshwar Mandir, Kalyan - MPCB",Kalyan,Maharashtra,-7,131,0
"Shivaji University, Kolhapur - MPCB",Kolhapur,Maharashtra,-7,260,0
"Sinchan Bhavan, Kolhapur - MPCB",Kolhapur,Maharashtra,-7,160,0
"Sawe Wadi, Latur - MPCB",Latur,Maharashtra,-7,199,0
"Kamble Tarf Birwadi, Mahad - MPCB",Mahad,Maharashtra,-7,180,0
"Mahesh Nagar, Malegaon - MPCB",Malegaon,Maharashtra,-7,227,0
"Bhayandar West, Mira-Bhayandar - MPCB",Mira-Bhayandar,Maharashtra,-7,155,0
"Bandra Kurla Complex, Mumbai - IITM",Mumbai,Maharashtra,-7,160,0
"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,-7,155,0
"Bandra, Mumbai - MPCB",Mumbai,Maharashtra,-7,160,0
"Borivali East, Mumbai - IITM",Mumbai,Maharashtra,-7,145,0
"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,-7,91,0
"Byculla, Mumbai - BMC",Mumbai,Maharashtra,-7,199,0
"Chakala-Andheri East, Mumbai - IITM",Mumbai,Maharashtra,-7,160,0
"Chembur, Mumbai - MPCB",Mumbai,Maharashtra,-7,151,0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,-7,124,0
"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,-7,113,0
"Deonar, Mumbai - IITM",Mumbai,Maharashtra,-7,235,0
"Ghatkopar, Mumbai - BMC",Mumbai,Maharashtra,-7,187,0
"Kandivali East, Mumbai - MPCB",Mumbai,Maharashtra,-7,115,0
"Kandivali West, Mumbai - BMC",Mumbai,Maharashtra,-7,237,0
"Kherwadi_Bandra East, Mumbai - MPCB",Mumbai,Maharashtra,-7,123,0
"Khindipada-Bhandup West, Mumbai - IITM",Mumbai,Maharashtra,-7,94,0
"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,-7,113,0
"Malad West, Mumbai - IITM",Mumbai,Maharashtra,-7,180,0
"Mazgaon, Mumbai - IITM",Mumbai,Maharashtra,-7,134,0
"Mindspace-Malad West, Mumbai - MPCB",Mumbai,Maharashtra,-7,44,0
"Mulund West, Mumbai - MPCB",Mumbai,Maharashtra,-7,120,0
"Navy Nagar-Colaba, Mumbai - IITM",Mumbai,Maharashtra,-7,233,0
"Powai, Mumbai - MPCB",Mumbai,Maharashtra,-7,107,0
"Sewri, Mumbai - BMC",Mumbai,Maharashtra,-7,139,0
"Shivaji Nagar, Mumbai - BMC",Mumbai,Maharashtra,-7,160,0
"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,Maharashtra,-7,172,0
"Sion, Mumbai - MPCB",Mumbai,Maharashtra,-7,113,0
"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,-7,144,0
"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,-7,160,0
"Worli, Mumbai - MPCB",Mumbai,Maharashtra,-7,130,0
"Ambazari, Nagpur - MPCB",Nagpur,Maharashtra,-7,159,0
"Mahal, Nagpur - MPCB",Nagpur,Maharashtra,-7,129,0
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,-7,137,0
"Ram Nagar, Nagpur - MPCB",Nagpur,Maharashtra,-7,107,0
"Sneh Nagar, Nanded - MPCB",Nanded,Maharashtra,-7,279,0
"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,-7,222,0
"Hirawadi, Nashik - MPCB",Nashik,Maharashtra,-7,139,0
"MIDC Ambad, Nashik - MPCB",Nashik,Maharashtra,-7,185,0
"Pandav Nagari, Nashik - MPCB",Nashik,Maharashtra,-7,163,0
"Airoli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,160,0
"Kopripada-Vashi, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,167,0
"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,130,0
"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,150,0
"Sanpada, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,144,0
"Sector-19A Nerul, Navi Mumbai - IITM",Navi Mumbai,Maharashtra,-7,160,0
"Sector-2E Kalamboli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,148,0
"Tondare-Taloja, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,-7,96,0
"Masoom Colony, Parbhani - MPCB",Parbhani,Maharashtra,-7,293,0
"Gavalinagar, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,-7,265,0
"Park Street Wakad, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,-7,246,0
"Savta Mali Nagar, Pimpri-Chinchwad - IITM",Pimpri-Chinchwad,Maharashtra,-7,235,0
"Thergaon, Pimpri Chinchwad - MPCB",Pimpri-Chinchwad,Maharashtra,-7,311,0
"Alandi, Pune - IITM",Pune,Maharashtra,-7,165,0
"Bhosari, Pune - IITM",Pune,Maharashtra,-7,160,0
"Bhumkar Nagar, Pune - IITM",Pune,Maharashtra,-7,205,0
"Hadapsar, Pune - IITM",Pune,Maharashtra,-7,136,0
"Karve Road, Pune - MPCB",Pune,Maharashtra,-7,146,0
"Katraj Dairy, Pune - MPCB",Pune,Maharashtra,-7,107,0
"MIT-Kothrud, Pune - IITM",Pune,Maharashtra,-7,160,0
"Mhada Colony, Pune - IITM",Pune,Maharashtra,-7,83,0
"Panchawati_Pashan, Pune - IITM",Pune,Maharashtra,-7,105,0
"Revenue Colony-Shivajinagar, Pune - IITM",Pune,Maharashtra,-7,149,0
"Savitribai Phule Pune University, Pune - MPCB",Pune,Maharashtra,-7,273,0
"Transport Nagar-Nigdi, Pune - IITM",Pune,Maharashtra,-7,169,0
"Vijay Nagar, Sangli - MPCB",Sangli,Maharashtra,-7,107,0
"Dnyaneshwar Nagar, Solapur - MPCB",Solapur,Maharashtra,-7,143,0
"Ratandeep Housing Society, Solapur - MPCB",Solapur,Maharashtra,-7,155,0
"Solapur, Solapur - MPCB",Solapur,Maharashtra,-7,112,0
"Kasarvadavali, Thane - MPCB",Thane,Maharashtra,-7,129,0
"Upvan Fort, Thane - MPCB",Thane,Maharashtra,-7,157,0
"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",Ulhasnagar,Maharashtra,-7,194,0
"Bolinj, Virar - MPCB",Virar,Maharashtra,-7,116,0
